Département,Slug,Nom_reel,Code_postal,INSEE
1,champagne-en-valromey,Champagne-en-Valromey,1260,1079
1,amberieux-en-dombes,Ambérieux-en-Dombes,1330,1005
1,boisse-01,La Boisse,1120,1049
1,parcieux,Parcieux,1600,1285
1,saint-didier-d-aussiat,Saint-Didier-d'Aussiat,1340,1346
1,saint-nizier-le-bouchoux,Saint-Nizier-le-Bouchoux,1560,1380
1,ars-sur-formans,Ars-sur-Formans,1480,1021
1,anglefort,Anglefort,1350,1010
1,corlier,Corlier,1110,1121
1,ferney-voltaire,Ferney-Voltaire,1210,1160
1,saint-maurice-de-remens,Saint-Maurice-de-Rémens,1500,1379
1,chatillon-la-palud,Châtillon-la-Palud,1320,1092
1,saint-sulpice-01,Saint-Sulpice,1340,1387
1,saint-bois,Saint-Bois,1300,1340
1,virignin,Virignin,1300,1454
1,premillieu,Prémillieu,1110,1311
1,genouilleux,Genouilleux,1090,1169
1,reyssouze,Reyssouze,1190,1323
1,collonges,Collonges,1550,1109
1,saint-germain-de-joux,Saint-Germain-de-Joux,1130,1357
1,bregnier-cordon,Brégnier-Cordon,1300,1058
1,saint-martin-le-chatel,Saint-Martin-le-Châtel,1310,1375
1,marignieu,Marignieu,1300,1234
1,neyrolles,Neyrolles,1130,1274
1,sulignat,Sulignat,1400,1412
1,beny,Bény,1370,1038
1,injoux-genissiat,Injoux-Génissiat,1200,1189
1,chanay,Chanay,1420,1082
1,chatillon-sur-chalaronne,Châtillon-sur-Chalaronne,1400,1093
1,farges-01,Farges,1550,1158
1,saint-alban-01,Saint-Alban,1450,1331
1,curtafond,Curtafond,1310,1140
1,viriat,Viriat,1440,1451
1,belleydoux,Belleydoux,1130,1035
1,bage-le-chatel,Bâgé-le-Châtel,1380,1026
1,sainte-olive,Sainte-Olive,1330,1382
1,saint-genis-sur-menthon,Saint-Genis-sur-Menthon,1380,1355
1,domsure,Domsure,1270,1147
1,chavannes-sur-suran,Chavannes-sur-Suran,1250,1095
